date,open,high,low,close,volume
2024-08-22,2504.10,2504.10,2471.10,2478.90,210
2024-08-23,2486.50,2508.40,2486.50,2508.40,94
2024-08-26,2509.90,2523.10,2509.10,2517.70,290
2024-08-27,2515.20,2523.10,2506.90,2516.00,100
2024-08-28,2501.00,2501.00,2501.00,2501.00,2353
2024-08-29,2504.10,2525.70,2503.90,2525.70,3966
2024-08-30,2519.50,2525.40,2493.80,2493.80,208
2024-09-03,2501.60,2501.80,2476.30,2489.90,206
2024-09-04,2490.90,2493.40,2483.50,2493.40,470
2024-09-05,2493.70,2513.30,2493.40,2511.40,54
2024-09-06,2510.30,2517.90,2483.70,2493.50,96
2024-09-09,2491.30,2504.70,2491.30,2501.80,96
2024-09-10,2512.30,2512.30,2512.30,2512.30,5
2024-09-11,2525.80,2525.80,2502.30,2512.10,90
2024-09-12,2529.10,2557.00,2523.40,2551.20,132
2024-09-13,2568.80,2581.80,2565.00,2581.30,31
2024-09-16,2580.40,2580.40,2580.40,2580.40,28
2024-09-17,2581.20,2581.80,2564.30,2564.30,22
2024-09-18,2570.70,2570.70,2549.20,2570.70,25
2024-09-19,2566.00,2588.00,2566.00,2588.00,99
2024-09-20,2590.40,2621.80,2590.40,2619.90,17
2024-09-23,2626.50,2626.50,2626.50,2626.50,9
2024-09-24,2636.80,2662.30,2625.50,2651.20,35
2024-09-25,2656.30,2664.20,2649.30,2659.20,175
2024-09-26,2662.30,2669.90,2660.80,2669.90,17216
2024-09-27,2670.00,2672.10,2641.70,2644.30,4228
2024-09-30,2660.90,2662.10,2623.20,2636.10,973
2024-10-01,2631.40,2670.90,2631.40,2667.30,153
2024-10-02,2650.60,2657.20,2640.00,2647.10,72
2024-10-03,2642.80,2657.10,2640.00,2657.10,354
2024-10-04,2656.00,2667.00,2639.00,2645.80,114
2024-10-07,2648.70,2657.40,2639.00,2644.80,284
2024-10-08,2639.00,2639.00,2609.30,2615.00,687
2024-10-09,2603.00,2607.70,2603.00,2606.00,152
2024-10-10,2602.50,2628.30,2602.50,2620.60,320
2024-10-11,2638.30,2658.10,2638.20,2657.60,12
2024-10-14,2655.00,2655.30,2647.80,2647.80,40
2024-10-15,2661.40,2661.40,2661.40,2661.40,39
2024-10-16,2674.00,2674.00,2674.00,2674.00,6
2024-10-17,2677.40,2691.70,2677.20,2691.00,30
2024-10-18,2713.70,2719.60,2713.70,2713.70,29
2024-10-21,2721.90,2738.40,2719.50,2723.10,52
2024-10-22,2731.70,2746.00,2728.60,2744.20,93
2024-10-23,2742.50,2742.50,2714.20,2714.40,18
2024-10-24,2729.00,2736.10,2729.00,2734.90,27
2024-10-25,2725.50,2742.40,2725.50,2740.90,29
2024-10-28,2736.10,2742.90,2729.50,2742.90,56
2024-10-29,2768.40,2768.40,2768.40,2768.40,848
2024-10-30,2774.60,2789.00,2774.60,2788.50,231
2024-10-31,2787.40,2787.50,2733.50,2738.30,849
2024-11-01,2745.50,2756.00,2734.20,2738.60,109
2024-11-04,2736.50,2737.10,2736.10,2736.10,16
2024-11-05,2743.00,2743.90,2740.30,2740.30,23
2024-11-06,2734.50,2734.50,2659.40,2667.60,427
2024-11-07,2662.50,2699.10,2662.50,2698.40,676
2024-11-08,2688.50,2694.60,2682.90,2687.50,1038
2024-11-11,2671.70,2671.70,2611.20,2611.20,20
2024-11-12,2605.50,2605.50,2592.80,2600.00,118
2024-11-13,2611.10,2611.80,2580.80,2580.80,53
2024-11-14,2555.10,2576.20,2554.20,2568.20,27
2024-11-15,2565.70,2565.70,2565.70,2565.70,20
2024-11-18,2591.70,2610.70,2589.40,2610.60,136
2024-11-19,2621.90,2627.70,2619.30,2627.10,87
2024-11-20,2638.50,2648.20,2638.50,2648.20,27
2024-11-21,2659.30,2672.10,2655.70,2672.10,33
